,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
103,156,2004,7,Colorado,Food,4,1.0,0.0,2004 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
104,157,2006,7,Colorado,Food,20,3.0,0.0,2006 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
105,161,2008,7,Colorado,Food,3,1.0,0.0,2008 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
106,162,2017,7,Colorado,Other,18,3.0,0.0,2017 7 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,88.0,57.0,5.59,50.45,"5,155","5,417",103
107,164,2012,9,Colorado,Other,5,3.0,0.0,2012 9 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,66.0,37.0,5.59,50.45,"5,155","5,417",103
108,165,1999,9,Colorado,Food,9,0.0,0.0,1999 9 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,66.0,37.0,5.59,50.45,"5,155","5,417",103
109,166,2007,9,Colorado,Food,2,0.0,0.0,2007 9 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,66.0,37.0,5.59,50.45,"5,155","5,417",103
110,171,2009,1,Colorado,Other,19,6.0,0.0,2009 1 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,46.0,19.0,5.59,50.45,"5,155","5,417",103
111,174,2009,5,Colorado,Food,3,2.0,0.0,2009 5 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,82.0,52.0,5.59,50.45,"5,155","5,417",103
112,176,2008,5,Colorado,Food,2,2.0,0.0,2008 5 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,82.0,52.0,5.59,50.45,"5,155","5,417",103
113,178,2016,5,Colorado,Food,9,1.0,0.0,2016 5 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,82.0,52.0,5.59,50.45,"5,155","5,417",103
114,179,2013,8,Colorado,Other,5,2.0,0.0,2013 8 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,79.0,48.0,5.59,50.45,"5,155","5,417",103
115,182,2009,8,Colorado,Other,9,1.0,0.0,2009 8 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,79.0,48.0,5.59,50.45,"5,155","5,417",103
116,184,2008,8,Colorado,Food,5,3.0,0.0,2008 8 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,79.0,48.0,5.59,50.45,"5,155","5,417",103
117,185,2016,8,Colorado,Other,5,0.0,0.0,2016 8 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,79.0,48.0,5.59,50.45,"5,155","5,417",103
118,186,2009,2,Colorado,Other,13,0.0,0.0,2009 2 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,54.0,27.0,5.59,50.45,"5,155","5,417",103
119,187,2010,3,Colorado,Food,2,1.0,0.0,2010 3 Colorado,O157:H7,52,103642,0.947,0.9059999999999999,61.0,34.0,5.59,50.45,"5,155","5,417",103
120,194,2011,9,Idaho,Food,5,1.0,0.0,2011 9 Idaho,O157:H7,20,82643,0.911,0.872,65.0,41.0,5.59,50.45,"5,155","5,417",103
121,195,2011,9,Idaho,Other,2,2.0,0.0,2011 9 Idaho,O157:H7,20,82643,0.911,0.872,65.0,41.0,5.59,50.45,"5,155","5,417",103
122,196,2013,9,Idaho,Food,4,1.0,1.0,2013 9 Idaho,O157:H7,20,82643,0.911,0.872,65.0,41.0,5.59,50.45,"5,155","5,417",103
