,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
152,2001,9,Oregon,Food,8,2001 9 Oregon,O157:H7,41,95988,0.934,0.882,64,42,5.59,50.45,5155,5417,103
153,2010,9,Oregon,Other,7,2010 9 Oregon,O157:H7,41,95988,0.934,0.882,64,42,5.59,50.45,5155,5417,103
154,2003,5,Oregon,Food,3,2003 5 Oregon,O157:H7,41,95988,0.934,0.882,74,49,5.59,50.45,5155,5417,103
155,2006,5,Oregon,Food,4,2006 5 Oregon,O157:H7,41,95988,0.934,0.882,74,49,5.59,50.45,5155,5417,103
156,2006,11,Oregon,Food,3,2006 11 Oregon,O157:H7,41,95988,0.934,0.882,46,34,5.59,50.45,5155,5417,103
157,2007,3,Oregon,Food,2,2007 3 Oregon,O157:H7,41,95988,0.934,0.882,61,40,5.59,50.45,5155,5417,103
158,2011,4,Wisconsin,Food,13,2011 4 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,65,47,5.59,50.45,5155,5417,103
159,2011,7,Wisconsin,Other,19,2011 7 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,78,63,5.59,50.45,5155,5417,103
160,2012,7,Wisconsin,Other,7,2012 7 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,78,63,5.59,50.45,5155,5417,103
161,2000,7,Wisconsin,Food,736,2000 7 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,78,63,5.59,50.45,5155,5417,103
162,2000,7,Wisconsin,Food,52,2000 7 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,78,63,5.59,50.45,5155,5417,103
163,2017,7,Wisconsin,Other,2,2017 7 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,78,63,5.59,50.45,5155,5417,103
164,2011,8,Wisconsin,Other,14,2011 8 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,71,55,5.59,50.45,5155,5417,103
165,2000,8,Wisconsin,Food,6,2000 8 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,71,55,5.59,50.45,5155,5417,103
166,2001,8,Wisconsin,Food,55,2001 8 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,71,55,5.59,50.45,5155,5417,103
167,2002,8,Wisconsin,Food,19,2002 8 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,71,55,5.59,50.45,5155,5417,103
168,2010,8,Wisconsin,Other,7,2010 8 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,71,55,5.59,50.45,5155,5417,103
169,2009,6,Wisconsin,Other,7,2009 6 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,80,64,5.59,50.45,5155,5417,103
170,1998,6,Wisconsin,Food,47,1998 6 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,80,64,5.59,50.45,5155,5417,103
171,1998,6,Wisconsin,Food,63,1998 6 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,80,64,5.59,50.45,5155,5417,103
172,2011,10,Wisconsin,Other,6,2011 10 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,46,32,5.59,50.45,5155,5417,103
173,2011,10,Wisconsin,Food,4,2011 10 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,46,32,5.59,50.45,5155,5417,103
174,2012,10,Wisconsin,Other,2,2012 10 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,46,32,5.59,50.45,5155,5417,103
175,2000,10,Wisconsin,Food,29,2000 10 Wisconsin,O157:H7,106,54158,0.932,0.8859999999999999,46,32,5.59,50.45,5155,5417,103
