,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
145,2000,6,Colorado,Food,16,6.0,1.0,2000 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
146,2000,6,Colorado,Food,7,5.0,0.0,2000 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
147,2010,6,Colorado,Food,30,2.0,0.0,2010 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
148,2015,6,Colorado,Food,6,0.0,0.0,2015 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
149,2015,6,Colorado,Food,16,5.0,0.0,2015 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59
150,2012,7,Colorado,Other,3,1.0,0.0,2012 7 Colorado,O26,52,103642,0.9470000000000001,0.906,88,57
151,2012,7,Colorado,Food,2,0.0,0.0,2012 7 Colorado,O111:NM,52,103642,0.9470000000000001,0.906,88,57
152,2001,7,Colorado,Food,13,5.0,0.0,2001 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
153,2003,7,Colorado,Food,2,2.0,0.0,2003 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
154,2003,7,Colorado,Food,13,1.0,0.0,2003 7 Colorado,O157:NM,52,103642,0.9470000000000001,0.906,88,57
155,2003,7,Colorado,Food,13,1.0,0.0,2003 7 Colorado,(H-),52,103642,0.9470000000000001,0.906,88,57
156,2004,7,Colorado,Food,4,1.0,0.0,2004 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
157,2006,7,Colorado,Food,20,3.0,0.0,2006 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
158,2007,7,Colorado,Food,135,10.0,0.0,2007 7 Colorado,O121,52,103642,0.9470000000000001,0.906,88,57
159,2007,7,Colorado,Food,135,10.0,0.0,2007 7 Colorado,O26,52,103642,0.9470000000000001,0.906,88,57
160,2007,7,Colorado,Food,135,10.0,0.0,2007 7 Colorado,O84,52,103642,0.9470000000000001,0.906,88,57
161,2008,7,Colorado,Food,3,1.0,0.0,2008 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
162,2017,7,Colorado,Other,18,3.0,0.0,2017 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57
163,2017,7,Colorado,Other,18,3.0,0.0,2017 7 Colorado,unknown,52,103642,0.9470000000000001,0.906,88,57
164,2012,9,Colorado,Other,5,3.0,0.0,2012 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37
165,1999,9,Colorado,Food,9,0.0,0.0,1999 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37
166,2007,9,Colorado,Food,2,0.0,0.0,2007 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37
167,2008,9,Colorado,Food,21,2.0,0.0,2008 9 Colorado,O157:NM,52,103642,0.9470000000000001,0.906,66,37
168,2008,9,Colorado,Food,21,2.0,0.0,2008 9 Colorado,(H-),52,103642,0.9470000000000001,0.906,66,37
169,2017,9,Colorado,Food,6,1.0,0.0,2017 9 Colorado,O26,52,103642,0.9470000000000001,0.906,66,37
170,2017,9,Colorado,Other,6,2.0,0.0,2017 9 Colorado,O121,52,103642,0.9470000000000001,0.906,66,37
171,2009,1,Colorado,Other,19,6.0,0.0,2009 1 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,46,19
172,2017,1,Colorado,Other,5,2.0,0.0,2017 1 Colorado,O157,52,103642,0.9470000000000001,0.906,46,19
173,2017,1,Colorado,Other,5,2.0,0.0,2017 1 Colorado,other,52,103642,0.9470000000000001,0.906,46,19
174,2009,5,Colorado,Food,3,2.0,0.0,2009 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52
175,2013,5,Colorado,Other,2,0.0,0.0,2013 5 Colorado,O26,52,103642,0.9470000000000001,0.906,82,52
176,2008,5,Colorado,Food,2,2.0,0.0,2008 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52
177,2010,5,Colorado,Other,47,0.0,0.0,2010 5 Colorado,O26,52,103642,0.9470000000000001,0.906,82,52
178,2016,5,Colorado,Food,9,1.0,0.0,2016 5 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,82,52
179,2013,8,Colorado,Other,5,2.0,0.0,2013 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48
180,2014,8,Colorado,Other,6,1.0,0.0,2014 8 Colorado,unknown,52,103642,0.9470000000000001,0.906,79,48
181,2009,8,Colorado,Other,9,1.0,0.0,2009 8 Colorado,Typhimurium,52,103642,0.9470000000000001,0.906,79,48
182,2009,8,Colorado,Other,9,1.0,0.0,2009 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48
183,2010,8,Colorado,Other,21,0.0,0.0,2010 8 Colorado,O26,52,103642,0.9470000000000001,0.906,79,48
184,2008,8,Colorado,Food,5,3.0,0.0,2008 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48
185,2016,8,Colorado,Other,5,0.0,0.0,2016 8 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,79,48
